ano,mes,ds_mes,quantidade
2020,01,janeiro,5349
2020,02,fevereiro,9445
2020,03,março,13103
2020,04,abril,16241
2020,05,maio,12936
2020,06,junho,5497
2020,07,julho,7205
2020,08,agosto,6288
2020,09,setembro,4460
2020,10,outubro,6452
2020,11,novembro,9575
2020,12,dezembro,11494
2021,01,janeiro,15947
2021,02,fevereiro,24469
2021,03,março,24973
2021,04,abril,24793
2021,05,maio,24646
2021,06,junho,18227
2021,07,julho,11943
2021,08,agosto,9537
2021,09,setembro,7862
2021,10,outubro,8518
2021,11,novembro,6540
2021,12,dezembro,27847
2022,01,janeiro,37914
2022,02,fevereiro,8122
2022,03,março,11695
2022,04,abril,15992
2022,05,maio,15141
2022,06,junho,16357
2022,07,julho,12763
2022,08,agosto,8195
2022,09,setembro,7076
2022,10,outubro,5921
2022,11,novembro,11638
