data,quantidade
01/10/2022,171
02/10/2022,93
03/10/2022,180
04/10/2022,173
05/10/2022,244
06/10/2022,205
07/10/2022,177
08/10/2022,158
09/10/2022,113
10/10/2022,203
11/10/2022,223
12/10/2022,165
13/10/2022,158
14/10/2022,184
15/10/2022,111
16/10/2022,145
17/10/2022,271
18/10/2022,223
19/10/2022,315
20/10/2022,214
21/10/2022,265
22/10/2022,141
23/10/2022,141
24/10/2022,199
25/10/2022,303
26/10/2022,293
27/10/2022,213
28/10/2022,189
29/10/2022,149
30/10/2022,129
31/10/2022,173
01/11/2022,234
02/11/2022,242
03/11/2022,270
04/11/2022,265
05/11/2022,250
06/11/2022,162
07/11/2022,205
08/11/2022,213
09/11/2022,307
10/11/2022,294
11/11/2022,262
12/11/2022,246
13/11/2022,222
14/11/2022,332
15/11/2022,378
16/11/2022,664
17/11/2022,490
18/11/2022,563
19/11/2022,518
20/11/2022,609
21/11/2022,828
22/11/2022,1017
23/11/2022,991
24/11/2022,624
25/11/2022,747
26/11/2022,705
