unidade,06-01,06-02,06-03,06-04,06-05,06-06,06-07,06-08,06-09,06-10,06-11,06-12,06-13,06-14,06-15,06-16,06-17,06-18,06-19,06-20,06-21,06-22,06-23,06-24,06-25,06-26,06-27,06-28,06-29,06-30,07-01,07-02,07-03,07-04,07-05,07-06,07-07,07-08,07-09,07-10,07-11,07-12,07-13,07-14,07-15,07-16,07-17,07-18,07-19,07-20,07-21,07-22,07-23,07-24,07-25,07-26,07-27,07-28,07-29,07-30,08-01,08-02,08-03,08-04,08-05,08-06,08-07,08-08,08-09,08-10,08-11,08-12,08-13,08-14,08-15,08-16,08-17,08-18,08-19,08-20,08-21,08-22,08-23,08-24,08-25,08-26,08-27,08-28,08-29,08-30,09-01,09-02,09-03,09-04,09-05,09-06,09-07,09-08,09-09,09-10,09-11,09-12,09-13,09-14,09-15,09-16,09-17,09-18,09-19,09-20,09-21,09-22,09-23,09-24,09-25,09-26,09-27,09-28,09-29,09-30,10-01,10-02,10-03,10-04,10-05,10-06,10-07,10-08,10-09,10-10,10-11,10-12,10-13,10-14,10-15,10-16,10-17,10-18,10-19,10-20,10-21,10-22,10-23,10-24,10-25,10-26,10-27,10-28,10-29,10-30,11-01,11-02,11-03,11-04,11-05,11-06,11-07,11-08,11-09,11-10,11-11,11-12,11-13,11-14,11-15,11-16,11-17,11-18,11-19,11-20,11-21,11-22,11-23,11-24,11-25,11-26,11-27
UPA AUTRAN NUNES,,38.0,54.0,64.0,45.0,20.0,54.0,29.0,60.0,73.0,38.0,33.0,21.0,24.0,82.0,80.0,61.0,49.0,51.0,53.0,46.0,46.0,84.0,61.0,77.0,12.0,26.0,58.0,28.0,81.0,44.0,96.0,78.0,40.0,45.0,37.0,30.0,44.0,15.0,21.0,33.0,36.0,18.0,42.0,17.0,28.0,13.0,7.0,55.0,38.0,24.0,64.0,28.0,31.0,7.0,19.0,7.0,44.0,19.0,13.0,13.0,19.0,21.0,25.0,29.0,62.0,12.0,15.0,13.0,21.0,30.0,27.0,29.0,15.0,6.0,11.0,21.0,38.0,45.0,30.0,6.0,3.0,12.0,40.0,27.0,23.0,45.0,20.0,5.0,3.0,57.0,60.0,27.0,4.0,8.0,22.0,22.0,27.0,61.0,23.0,4.0,6.0,26.0,37.0,19.0,46.0,16.0,2.0,9.0,10.0,2.0,22.0,19.0,48.0,6.0,9.0,37.0,36.0,31.0,34.0,10.0,17.0,38.0,42.0,40.0,20.0,24.0,17.0,3.0,26.0,37.0,17.0,10.0,47.0,8.0,8.0,4.0,25.0,31.0,25.0,18.0,20.0,23.0,10.0,19.0,33.0,38.0,49.0,18.0,4.0,19.0,32.0,29.0,28.0,19.0,1.0,5.0,4.0,53.0,24.0,59.0,53.0,8.0,20.0,27.0,86.0,78.0,66.0,56.0,109.0,38.0,166.0,142.0,121.0,133.0,107.0,18.0
UPA BOM JARDIM,,5.0,18.0,11.0,5.0,19.0,8.0,7.0,11.0,27.0,12.0,11.0,16.0,7.0,2.0,10.0,19.0,11.0,10.0,6.0,13.0,13.0,9.0,36.0,27.0,31.0,30.0,17.0,30.0,15.0,21.0,23.0,12.0,1.0,9.0,11.0,4.0,16.0,9.0,18.0,22.0,13.0,15.0,5.0,6.0,9.0,17.0,9.0,15.0,14.0,0.0,18.0,4.0,9.0,4.0,8.0,4.0,3.0,7.0,7.0,19.0,5.0,2.0,1.0,3.0,6.0,5.0,9.0,10.0,8.0,8.0,9.0,0.0,5.0,2.0,7.0,21.0,2.0,3.0,2.0,3.0,18.0,9.0,8.0,10.0,15.0,12.0,24.0,20.0,11.0,18.0,4.0,7.0,9.0,7.0,4.0,3.0,26.0,18.0,21.0,7.0,7.0,27.0,20.0,14.0,11.0,12.0,13.0,29.0,4.0,6.0,5.0,9.0,11.0,9.0,7.0,4.0,7.0,6.0,16.0,8.0,6.0,16.0,21.0,14.0,17.0,9.0,3.0,3.0,2.0,8.0,6.0,22.0,6.0,2.0,2.0,15.0,10.0,7.0,6.0,7.0,5.0,7.0,9.0,15.0,17.0,7.0,9.0,11.0,8.0,10.0,7.0,35.0,13.0,12.0,6.0,5.0,8.0,11.0,9.0,8.0,16.0,18.0,18.0,18.0,15.0,15.0,27.0,19.0,19.0,13.0,63.0,15.0,39.0,39.0,64.0,14.0
UPA CANINDEZINHO,,39.0,27.0,7.0,39.0,98.0,46.0,98.0,52.0,35.0,24.0,52.0,53.0,35.0,115.0,74.0,26.0,68.0,46.0,85.0,104.0,53.0,27.0,69.0,71.0,108.0,97.0,113.0,119.0,49.0,47.0,34.0,41.0,146.0,104.0,107.0,33.0,84.0,40.0,80.0,101.0,97.0,95.0,23.0,28.0,29.0,26.0,80.0,34.0,77.0,49.0,31.0,46.0,59.0,67.0,43.0,50.0,26.0,24.0,16.0,76.0,46.0,56.0,39.0,34.0,15.0,25.0,40.0,106.0,56.0,41.0,20.0,18.0,19.0,61.0,77.0,41.0,23.0,41.0,39.0,12.0,79.0,59.0,74.0,46.0,32.0,17.0,28.0,48.0,46.0,85.0,34.0,22.0,17.0,64.0,41.0,46.0,26.0,27.0,10.0,20.0,35.0,36.0,74.0,39.0,27.0,18.0,7.0,54.0,33.0,44.0,27.0,28.0,19.0,14.0,44.0,33.0,79.0,29.0,28.0,13.0,12.0,35.0,16.0,24.0,18.0,3.0,13.0,6.0,37.0,31.0,15.0,14.0,14.0,11.0,1.0,42.0,38.0,48.0,28.0,22.0,12.0,2.0,34.0,50.0,29.0,32.0,30.0,11.0,9.0,76.0,30.0,40.0,18.0,35.0,1.0,60.0,38.0,34.0,49.0,54.0,36.0,15.0,55.0,40.0,132.0,117.0,50.0,41.0,83.0,104.0,69.0,209.0,109.0,158.0,50.0,22.0
UPA CONJUNTO CEARÁ,,36.0,76.0,22.0,9.0,61.0,70.0,17.0,26.0,67.0,22.0,37.0,9.0,50.0,54.0,82.0,94.0,24.0,62.0,68.0,41.0,23.0,52.0,33.0,62.0,58.0,68.0,34.0,35.0,57.0,83.0,27.0,40.0,40.0,68.0,19.0,15.0,40.0,17.0,66.0,49.0,38.0,29.0,29.0,28.0,14.0,43.0,28.0,25.0,20.0,42.0,22.0,15.0,25.0,23.0,32.0,15.0,23.0,25.0,30.0,43.0,15.0,5.0,19.0,10.0,12.0,2.0,12.0,19.0,28.0,14.0,18.0,15.0,7.0,15.0,14.0,6.0,16.0,30.0,26.0,17.0,29.0,21.0,5.0,17.0,24.0,13.0,5.0,24.0,44.0,28.0,11.0,14.0,41.0,10.0,16.0,16.0,15.0,14.0,8.0,18.0,14.0,20.0,8.0,12.0,1.0,14.0,27.0,4.0,15.0,2.0,5.0,25.0,6.0,2.0,17.0,1.0,0.0,5.0,15.0,13.0,12.0,4.0,2.0,8.0,13.0,7.0,16.0,4.0,1.0,7.0,2.0,23.0,2.0,4.0,5.0,11.0,8.0,2.0,6.0,28.0,5.0,5.0,9.0,14.0,2.0,13.0,21.0,4.0,32.0,12.0,13.0,24.0,29.0,10.0,20.0,10.0,22.0,25.0,27.0,7.0,8.0,7.0,27.0,25.0,35.0,15.0,32.0,26.0,64.0,99.0,76.0,40.0,12.0,31.0,40.0,14.0
UPA CRISTO REDENTOR,,14.0,6.0,15.0,97.0,37.0,57.0,146.0,4.0,117.0,43.0,32.0,97.0,45.0,106.0,38.0,22.0,20.0,88.0,86.0,70.0,62.0,25.0,33.0,66.0,92.0,82.0,96.0,121.0,21.0,64.0,57.0,49.0,27.0,60.0,89.0,66.0,67.0,49.0,28.0,24.0,24.0,85.0,16.0,19.0,11.0,55.0,18.0,10.0,84.0,50.0,53.0,27.0,18.0,15.0,7.0,33.0,29.0,35.0,15.0,75.0,67.0,57.0,14.0,80.0,16.0,32.0,77.0,26.0,69.0,6.0,22.0,10.0,35.0,56.0,16.0,57.0,21.0,12.0,25.0,26.0,77.0,36.0,61.0,12.0,17.0,27.0,50.0,43.0,37.0,72.0,9.0,8.0,12.0,78.0,25.0,44.0,20.0,33.0,24.0,12.0,72.0,41.0,61.0,6.0,21.0,15.0,35.0,34.0,44.0,48.0,6.0,24.0,15.0,23.0,29.0,11.0,38.0,31.0,70.0,17.0,3.0,14.0,5.0,44.0,15.0,8.0,8.0,32.0,25.0,5.0,22.0,11.0,34.0,5.0,18.0,80.0,30.0,35.0,38.0,9.0,19.0,32.0,57.0,22.0,67.0,20.0,11.0,21.0,22.0,63.0,33.0,17.0,50.0,35.0,37.0,18.0,12.0,44.0,23.0,39.0,21.0,36.0,49.0,36.0,68.0,49.0,86.0,71.0,68.0,126.0,145.0,105.0,83.0,100.0,64.0,39.0
UPA EDSON QUEIROZ,,30.0,15.0,9.0,26.0,19.0,6.0,15.0,16.0,13.0,23.0,14.0,15.0,19.0,7.0,27.0,27.0,41.0,41.0,39.0,26.0,13.0,36.0,47.0,5.0,28.0,43.0,13.0,19.0,36.0,27.0,26.0,15.0,16.0,24.0,23.0,40.0,16.0,15.0,21.0,26.0,46.0,18.0,41.0,9.0,14.0,7.0,28.0,34.0,21.0,11.0,25.0,18.0,14.0,6.0,15.0,10.0,10.0,6.0,18.0,9.0,20.0,16.0,6.0,10.0,6.0,5.0,12.0,21.0,18.0,8.0,11.0,19.0,6.0,11.0,20.0,30.0,6.0,7.0,4.0,12.0,22.0,28.0,15.0,14.0,11.0,5.0,7.0,7.0,21.0,24.0,19.0,23.0,8.0,16.0,27.0,1.0,8.0,2.0,6.0,12.0,16.0,19.0,4.0,26.0,23.0,6.0,3.0,3.0,16.0,2.0,11.0,8.0,43.0,9.0,19.0,20.0,20.0,2.0,13.0,23.0,3.0,9.0,5.0,4.0,13.0,24.0,13.0,12.0,5.0,16.0,25.0,5.0,6.0,3.0,3.0,11.0,11.0,51.0,13.0,25.0,7.0,1.0,10.0,28.0,23.0,12.0,11.0,12.0,3.0,38.0,13.0,12.0,11.0,12.0,12.0,3.0,22.0,16.0,6.0,16.0,16.0,14.0,6.0,11.0,22.0,35.0,29.0,32.0,6.0,35.0,23.0,53.0,19.0,29.0,24.0,2.0
UPA ITAPERI,,28.0,18.0,16.0,23.0,44.0,30.0,34.0,46.0,25.0,13.0,3.0,30.0,16.0,40.0,46.0,14.0,16.0,35.0,46.0,26.0,59.0,20.0,21.0,20.0,30.0,35.0,36.0,55.0,50.0,28.0,30.0,45.0,48.0,32.0,44.0,49.0,30.0,17.0,20.0,70.0,34.0,32.0,17.0,13.0,11.0,20.0,37.0,10.0,26.0,14.0,7.0,18.0,6.0,12.0,10.0,13.0,23.0,8.0,8.0,26.0,20.0,10.0,20.0,8.0,14.0,6.0,13.0,10.0,4.0,9.0,7.0,5.0,17.0,13.0,13.0,26.0,22.0,9.0,7.0,9.0,17.0,8.0,9.0,10.0,16.0,16.0,14.0,15.0,10.0,34.0,7.0,5.0,7.0,10.0,8.0,10.0,13.0,18.0,5.0,2.0,17.0,8.0,13.0,15.0,10.0,16.0,7.0,22.0,26.0,25.0,17.0,13.0,10.0,2.0,12.0,2.0,27.0,13.0,11.0,7.0,2.0,0.0,8.0,15.0,3.0,12.0,3.0,3.0,13.0,16.0,4.0,14.0,3.0,8.0,18.0,18.0,6.0,34.0,4.0,10.0,10.0,7.0,23.0,15.0,5.0,4.0,15.0,2.0,7.0,30.0,24.0,11.0,7.0,5.0,2.0,17.0,10.0,18.0,16.0,9.0,4.0,15.0,33.0,14.0,17.0,24.0,37.0,23.0,15.0,35.0,24.0,21.0,23.0,26.0,28.0,0.0
UPA JANGURUSSU,,50.0,45.0,111.0,63.0,65.0,35.0,66.0,132.0,87.0,112.0,10.0,48.0,13.0,90.0,101.0,65.0,92.0,85.0,41.0,22.0,85.0,88.0,86.0,101.0,66.0,53.0,15.0,99.0,37.0,45.0,57.0,78.0,33.0,18.0,48.0,71.0,73.0,99.0,117.0,13.0,37.0,67.0,72.0,53.0,46.0,89.0,37.0,12.0,36.0,23.0,43.0,52.0,24.0,26.0,17.0,38.0,34.0,14.0,33.0,46.0,34.0,14.0,24.0,29.0,14.0,48.0,26.0,9.0,45.0,24.0,37.0,31.0,9.0,14.0,32.0,41.0,18.0,24.0,29.0,19.0,29.0,21.0,41.0,36.0,30.0,51.0,19.0,10.0,19.0,63.0,19.0,37.0,53.0,10.0,32.0,38.0,28.0,29.0,42.0,19.0,19.0,24.0,14.0,16.0,9.0,25.0,3.0,5.0,16.0,19.0,12.0,8.0,24.0,3.0,17.0,19.0,13.0,23.0,12.0,21.0,12.0,22.0,14.0,8.0,24.0,30.0,34.0,3.0,10.0,24.0,10.0,22.0,16.0,18.0,18.0,16.0,17.0,1.0,12.0,33.0,15.0,8.0,0.0,11.0,9.0,5.0,8.0,7.0,2.0,12.0,6.0,30.0,9.0,38.0,10.0,17.0,4.0,19.0,19.0,1.0,19.0,33.0,16.0,7.0,28.0,12.0,32.0,56.0,30.0,128.0,40.0,42.0,34.0,52.0,45.0,1.0
UPA JOSÉ WALTER,,68.0,78.0,174.0,35.0,91.0,90.0,66.0,44.0,23.0,122.0,30.0,48.0,83.0,73.0,39.0,70.0,88.0,40.0,46.0,62.0,85.0,30.0,63.0,102.0,80.0,110.0,91.0,121.0,99.0,38.0,101.0,90.0,71.0,100.0,46.0,39.0,61.0,61.0,61.0,10.0,81.0,49.0,31.0,21.0,81.0,32.0,32.0,70.0,55.0,34.0,24.0,50.0,28.0,10.0,49.0,45.0,12.0,22.0,51.0,39.0,27.0,51.0,17.0,12.0,28.0,29.0,11.0,33.0,20.0,27.0,36.0,66.0,0.0,7.0,29.0,72.0,41.0,28.0,46.0,72.0,7.0,39.0,35.0,28.0,27.0,37.0,5.0,11.0,42.0,50.0,4.0,43.0,19.0,7.0,56.0,13.0,42.0,26.0,5.0,16.0,6.0,18.0,25.0,15.0,13.0,19.0,23.0,9.0,49.0,31.0,28.0,44.0,48.0,12.0,18.0,25.0,22.0,47.0,10.0,12.0,2.0,10.0,32.0,37.0,37.0,28.0,24.0,4.0,26.0,21.0,23.0,6.0,15.0,6.0,45.0,12.0,21.0,30.0,37.0,51.0,13.0,15.0,10.0,45.0,46.0,56.0,7.0,18.0,22.0,47.0,28.0,36.0,51.0,37.0,11.0,16.0,34.0,39.0,73.0,14.0,9.0,30.0,18.0,66.0,142.0,54.0,27.0,66.0,72.0,54.0,135.0,187.0,57.0,37.0,71.0,10.0
UPA MESSEJANA,,42.0,29.0,32.0,38.0,52.0,43.0,29.0,36.0,79.0,32.0,36.0,75.0,55.0,63.0,63.0,53.0,34.0,65.0,48.0,47.0,23.0,51.0,23.0,71.0,42.0,42.0,71.0,55.0,51.0,29.0,123.0,84.0,147.0,86.0,50.0,34.0,57.0,42.0,33.0,96.0,74.0,51.0,37.0,33.0,55.0,12.0,35.0,31.0,23.0,49.0,25.0,30.0,20.0,28.0,34.0,28.0,22.0,16.0,18.0,18.0,34.0,25.0,22.0,18.0,15.0,18.0,33.0,34.0,53.0,13.0,28.0,22.0,3.0,39.0,32.0,36.0,30.0,24.0,22.0,14.0,21.0,26.0,18.0,26.0,15.0,26.0,11.0,19.0,7.0,63.0,18.0,19.0,9.0,51.0,19.0,35.0,43.0,30.0,28.0,8.0,37.0,10.0,26.0,26.0,30.0,19.0,9.0,44.0,24.0,41.0,21.0,11.0,21.0,26.0,32.0,27.0,50.0,6.0,48.0,28.0,11.0,28.0,13.0,10.0,24.0,10.0,14.0,13.0,46.0,16.0,13.0,14.0,31.0,22.0,14.0,38.0,6.0,2.0,14.0,38.0,15.0,12.0,22.0,18.0,14.0,16.0,9.0,25.0,10.0,45.0,27.0,16.0,21.0,20.0,20.0,45.0,11.0,3.0,18.0,28.0,20.0,4.0,47.0,33.0,45.0,30.0,53.0,57.0,30.0,82.0,63.0,69.0,37.0,78.0,61.0,26.0
