data,unidade,quantidade,mediaMovel
01/01/2020,Total unificado,74,74.0
02/01/2020,Total unificado,148,111.0
03/01/2020,Total unificado,142,121.34
04/01/2020,Total unificado,135,124.75
05/01/2020,Total unificado,151,130.0
06/01/2020,Total unificado,128,129.67
07/01/2020,Total unificado,157,133.58
08/01/2020,Total unificado,160,145.86
09/01/2020,Total unificado,179,150.29
10/01/2020,Total unificado,186,156.58
11/01/2020,Total unificado,114,153.58
12/01/2020,Total unificado,130,150.58
13/01/2020,Total unificado,206,161.72
14/01/2020,Total unificado,177,164.58
15/01/2020,Total unificado,144,162.29
16/01/2020,Total unificado,188,163.58
17/01/2020,Total unificado,171,161.43
18/01/2020,Total unificado,181,171.0
19/01/2020,Total unificado,140,172.43
20/01/2020,Total unificado,183,169.15
21/01/2020,Total unificado,220,175.29
22/01/2020,Total unificado,228,187.29
23/01/2020,Total unificado,223,192.29
24/01/2020,Total unificado,218,199.0
25/01/2020,Total unificado,172,197.72
26/01/2020,Total unificado,128,196.0
27/01/2020,Total unificado,208,199.58
28/01/2020,Total unificado,202,197.0
29/01/2020,Total unificado,239,198.58
30/01/2020,Total unificado,239,200.86
31/01/2020,Total unificado,178,195.15
01/02/2020,Total unificado,200,199.15
02/02/2020,Total unificado,155,203.0
03/02/2020,Total unificado,239,207.43
04/02/2020,Total unificado,253,214.72
05/02/2020,Total unificado,195,208.43
06/02/2020,Total unificado,306,218.0
07/02/2020,Total unificado,297,235.0
08/02/2020,Total unificado,271,245.15
09/02/2020,Total unificado,195,250.86
10/02/2020,Total unificado,268,255.0
11/02/2020,Total unificado,336,266.86
12/02/2020,Total unificado,336,287.0
13/02/2020,Total unificado,306,287.0
14/02/2020,Total unificado,310,288.86
15/02/2020,Total unificado,332,297.58
16/02/2020,Total unificado,279,309.58
17/02/2020,Total unificado,375,324.86
18/02/2020,Total unificado,388,332.29
19/02/2020,Total unificado,306,328.0
20/02/2020,Total unificado,330,331.43
21/02/2020,Total unificado,447,351.0
22/02/2020,Total unificado,369,356.29
23/02/2020,Total unificado,275,355.72
