data,mes,classificacaoRisco,quantidade,ano,mesAux
2020-01-01,1,BRANCO,1,2020,Jan/2020
2020-01-01,1,AZUL,1,2020,Jan/2020
2020-01-01,1,VERDE,47,2020,Jan/2020
2020-01-01,1,AMARELO,14,2020,Jan/2020
2020-01-01,1,LARANJA,13,2020,Jan/2020
2020-01-02,1,BRANCO,1,2020,Jan/2020
2020-01-02,1,VERDE,100,2020,Jan/2020
2020-01-02,1,AMARELO,22,2020,Jan/2020
2020-01-02,1,LARANJA,26,2020,Jan/2020
2020-01-02,1,NAO CLASSIFICADO,1,2020,Jan/2020
2020-01-03,1,BRANCO,3,2020,Jan/2020
2020-01-03,1,AZUL,1,2020,Jan/2020
2020-01-03,1,VERDE,78,2020,Jan/2020
2020-01-03,1,AMARELO,34,2020,Jan/2020
2020-01-03,1,LARANJA,26,2020,Jan/2020
2020-01-03,1,NAO CLASSIFICADO,2,2020,Jan/2020
2020-01-04,1,BRANCO,5,2020,Jan/2020
2020-01-04,1,VERDE,88,2020,Jan/2020
2020-01-04,1,AMARELO,18,2020,Jan/2020
2020-01-04,1,LARANJA,24,2020,Jan/2020
2020-01-04,1,VERMELHO,1,2020,Jan/2020
2020-01-04,1,NAO CLASSIFICADO,1,2020,Jan/2020
2020-01-05,1,BRANCO,4,2020,Jan/2020
2020-01-05,1,AZUL,1,2020,Jan/2020
2020-01-05,1,VERDE,87,2020,Jan/2020
2020-01-05,1,AMARELO,38,2020,Jan/2020
2020-01-05,1,LARANJA,20,2020,Jan/2020
2020-01-05,1,NAO CLASSIFICADO,3,2020,Jan/2020
2020-01-06,1,VERDE,52,2020,Jan/2020
2020-01-06,1,AMARELO,40,2020,Jan/2020
2020-01-06,1,LARANJA,35,2020,Jan/2020
2020-01-06,1,NAO CLASSIFICADO,4,2020,Jan/2020
2020-01-07,1,BRANCO,6,2020,Jan/2020
2020-01-07,1,VERDE,85,2020,Jan/2020
2020-01-07,1,AMARELO,23,2020,Jan/2020
2020-01-07,1,LARANJA,43,2020,Jan/2020
2020-01-07,1,VERMELHO,1,2020,Jan/2020
2020-01-07,1,NAO CLASSIFICADO,2,2020,Jan/2020
2020-01-07,1,NAO CLASSIFICADO,1,2020,Jan/2020
2020-01-08,1,VERDE,77,2020,Jan/2020
2020-01-08,1,AMARELO,35,2020,Jan/2020
2020-01-08,1,LARANJA,35,2020,Jan/2020
2020-01-08,1,NAO CLASSIFICADO,16,2020,Jan/2020
2020-01-09,1,BRANCO,10,2020,Jan/2020
2020-01-09,1,VERDE,108,2020,Jan/2020
2020-01-09,1,AMARELO,13,2020,Jan/2020
2020-01-09,1,LARANJA,42,2020,Jan/2020
2020-01-09,1,NAO CLASSIFICADO,1,2020,Jan/2020
2020-01-09,1,NAO CLASSIFICADO,9,2020,Jan/2020
2020-01-10,1,BRANCO,4,2020,Jan/2020
2020-01-10,1,VERDE,98,2020,Jan/2020
2020-01-10,1,AMARELO,36,2020,Jan/2020
2020-01-10,1,LARANJA,43,2020,Jan/2020
2020-01-10,1,VERMELHO,4,2020,Jan/2020
2020-01-10,1,NAO CLASSIFICADO,4,2020,Jan/2020
2020-01-11,1,VERDE,65,2020,Jan/2020
2020-01-11,1,AMARELO,20,2020,Jan/2020
2020-01-11,1,LARANJA,26,2020,Jan/2020
2020-01-11,1,VERMELHO,3,2020,Jan/2020
2020-01-11,1,NAO CLASSIFICADO,1,2020,Jan/2020
2020-01-12,1,AZUL,1,2020,Jan/2020
2020-01-12,1,VERDE,65,2020,Jan/2020
2020-01-12,1,AMARELO,31,2020,Jan/2020
2020-01-12,1,LARANJA,33,2020,Jan/2020
2020-01-12,1,NAO CLASSIFICADO,1,2020,Jan/2020
2020-01-13,1,BRANCO,2,2020,Jan/2020
2020-01-13,1,VERDE,118,2020,Jan/2020
2020-01-13,1,AMARELO,48,2020,Jan/2020
2020-01-13,1,LARANJA,33,2020,Jan/2020
2020-01-13,1,VERMELHO,6,2020,Jan/2020
2020-01-13,1,NAO CLASSIFICADO,2,2020,Jan/2020
2020-01-14,1,BRANCO,4,2020,Jan/2020
2020-01-14,1,VERDE,106,2020,Jan/2020
2020-01-14,1,AMARELO,31,2020,Jan/2020
2020-01-14,1,LARANJA,26,2020,Jan/2020
2020-01-14,1,NAO CLASSIFICADO,10,2020,Jan/2020
2020-01-15,1,AZUL,2,2020,Jan/2020
2020-01-15,1,VERDE,80,2020,Jan/2020
2020-01-15,1,AMARELO,36,2020,Jan/2020
2020-01-15,1,LARANJA,21,2020,Jan/2020
2020-01-15,1,NAO CLASSIFICADO,1,2020,Jan/2020
2020-01-15,1,NAO CLASSIFICADO,6,2020,Jan/2020
2020-01-16,1,BRANCO,1,2020,Jan/2020
